Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Pushkino-Taldom-Hot'kovo	28/08/2005 14:24:57 	4:57:56	296 km	60 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N55 58.861 E37 51.833	28/08/2005 14:44:36 	157 m			25 m	0:00:04	23 kph	290° true
Trackpoint	N55 58.862 E37 51.830	28/08/2005 14:44:37 	157 m			4 m	0:00:01	15 kph	305° true
Trackpoint	N55 58.873 E37 51.811	28/08/2005 14:44:45 	156 m			29 m	0:00:08	13 kph	318° true
Trackpoint	N55 58.886 E37 51.812	28/08/2005 14:44:52 	155 m			23 m	0:00:07	12 kph	2° true
Trackpoint	N55 58.902 E37 51.818	28/08/2005 14:45:01 	155 m			30 m	0:00:09	12 kph	13° true
Trackpoint	N55 58.904 E37 51.819	28/08/2005 14:45:02 	155 m			5 m	0:00:01	16 kph	8° true
Trackpoint	N55 58.925 E37 51.835	28/08/2005 14:45:07 	156 m			43 m	0:00:05	31 kph	23° true
Trackpoint	N55 58.963 E37 51.868	28/08/2005 14:45:13 	156 m			78 m	0:00:06	47 kph	26° true
Trackpoint	N55 59.020 E37 51.915	28/08/2005 14:45:21 	156 m			116 m	0:00:08	52 kph	25° true
Trackpoint	N55 59.086 E37 51.972	28/08/2005 14:45:31 	157 m			137 m	0:00:10	49 kph	26° true
Trackpoint	N55 59.167 E37 52.042	28/08/2005 14:45:42 	156 m			167 m	0:00:11	55 kph	26° true
Trackpoint	N55 59.225 E37 52.087	28/08/2005 14:45:50 	154 m			117 m	0:00:08	53 kph	24° true
Trackpoint	N55 59.229 E37 52.091	28/08/2005 14:45:51 	154 m			9 m	0:00:01	33 kph	24° true
Trackpoint	N55 59.233 E37 52.121	28/08/2005 14:45:55 	154 m			31 m	0:00:04	28 kph	78° true
Trackpoint	N55 59.223 E37 52.179	28/08/2005 14:46:00 	155 m			63 m	0:00:05	45 kph	107° true
Trackpoint	N55 59.207 E37 52.233	28/08/2005 14:46:04 	156 m			63 m	0:00:04	57 kph	118° true
Trackpoint	N55 59.192 E37 52.296	28/08/2005 14:46:08 	156 m			71 m	0:00:04	64 kph	112° true
Trackpoint	N55 59.180 E37 52.372	28/08/2005 14:46:13 	156 m			82 m	0:00:05	59 kph	106° true
Trackpoint	N55 59.165 E37 52.404	28/08/2005 14:46:17 	154 m			44 m	0:00:04	39 kph	131° true
Trackpoint	N55 59.147 E37 52.401	28/08/2005 14:46:20 	154 m			33 m	0:00:03	39 kph	186° true
Trackpoint	N55 59.134 E37 52.382	28/08/2005 14:46:23 	153 m			32 m	0:00:03	38 kph	218° true
Trackpoint	N55 59.127 E37 52.363	28/08/2005 14:46:25 	153 m			23 m	0:00:02	42 kph	236° true
Trackpoint	N55 59.108 E37 52.299	28/08/2005 14:46:31 	153 m			74 m	0:00:06	45 kph	243° true
Trackpoint	N55 59.107 E37 52.266	28/08/2005 14:46:36 	153 m			34 m	0:00:05	25 kph	266° true
Trackpoint	N55 59.116 E37 52.261	28/08/2005 14:46:39 	152 m			18 m	0:00:03	21 kph	341° true
Trackpoint	N55 59.126 E37 52.265	28/08/2005 14:46:41 	152 m			19 m	0:00:02	34 kph	15° true
Trackpoint	N55 59.168 E37 52.286	28/08/2005 14:46:47 	149 m			81 m	0:00:06	49 kph	15° true
Trackpoint	N55 59.214 E37 52.305	28/08/2005 14:46:52 	147 m			87 m	0:00:05	63 kph	13° true
Trackpoint	N55 59.257 E37 52.321	28/08/2005 14:46:57 	146 m			81 m	0:00:05	58 kph	12° true
Trackpoint	N55 59.303 E37 52.337	28/08/2005 14:47:03 	144 m			88 m	0:00:06	53 kph	11° true
Trackpoint	N55 59.363 E37 52.363	28/08/2005 14:47:10 	141 m			114 m	0:00:07	59 kph	13° true
Trackpoint	N55 59.421 E37 52.389	28/08/2005 14:47:17 	139 m			112 m	0:00:07	58 kph	14° true
Trackpoint	N55 59.490 E37 52.417	28/08/2005 14:47:24 	137 m			131 m	0:00:07	67 kph	13° true
Trackpoint	N55 59.549 E37 52.443	28/08/2005 14:47:29 	137 m			112 m	0:00:05	81 kph	14° true
Trackpoint	N55 59.628 E37 52.478	28/08/2005 14:47:35 	139 m			151 m	0:00:06	90 kph	14° true
Trackpoint	N55 59.729 E37 52.522	28/08/2005 14:47:42 	140 m			192 m	0:00:07	99 kph	14° true
Trackpoint	N55 59.841 E37 52.573	28/08/2005 14:47:50 	143 m			215 m	0:00:08	97 kph	14° true
Trackpoint	N55 59.901 E37 52.599	28/08/2005 14:47:55 	143 m			116 m	0:00:05	83 kph	14° true
Trackpoint	N55 59.989 E37 52.633	28/08/2005 14:48:02 	144 m			167 m	0:00:07	86 kph	12° true
Trackpoint	N56 00.073 E37 52.657	28/08/2005 14:48:08 	145 m			158 m	0:00:06	95 kph	9° true
Trackpoint	N56 00.178 E37 52.672	28/08/2005 14:48:15 	148 m			194 m	0:00:07	100 kph	5° true
Trackpoint	N56 00.282 E37 52.671	28/08/2005 14:48:22 	150 m			194 m	0:00:07	100 kph	360° true
Trackpoint	N56 00.436 E37 52.659	28/08/2005 14:48:32 	153 m			286 m	0:00:10	103 kph	357° true
Trackpoint	N56 00.604 E37 52.647	28/08/2005 14:48:43 	154 m			311 m	0:00:11	102 kph	358° true
Trackpoint	N56 00.694 E37 52.655	28/08/2005 14:48:49 	155 m			167 m	0:00:06	100 kph	3° true
Trackpoint	N56 00.797 E37 52.681	28/08/2005 14:48:56 	155 m			193 m	0:00:07	99 kph	8° true
Trackpoint	N56 00.863 E37 52.708	28/08/2005 14:49:01 	156 m			127 m	0:00:05	91 kph	13° true
Trackpoint	N56 00.924 E37 52.739	28/08/2005 14:49:06 	156 m			116 m	0:00:05	84 kph	16° true
Trackpoint	N56 01.024 E37 52.798	28/08/2005 14:49:14 	157 m			196 m	0:00:08	88 kph	18° true
Trackpoint	N56 01.096 E37 52.840	28/08/2005 14:49:20 	157 m			141 m	0:00:06	84 kph	18° true
Trackpoint	N56 01.196 E37 52.897	28/08/2005 14:49:28 	157 m			195 m	0:00:08	88 kph	18° true
Trackpoint	N56 01.292 E37 52.953	28/08/2005 14:49:35 	157 m			187 m	0:00:07	96 kph	18° true
Trackpoint	N56 01.417 E37 53.023	28/08/2005 14:49:44 	159 m			242 m	0:00:09	97 kph	17° true
Trackpoint	N56 01.537 E37 53.087	28/08/2005 14:49:52 	160 m			233 m	0:00:08	105 kph	17° true
Trackpoint	N56 01.679 E37 53.160	28/08/2005 14:50:01 	161 m			274 m	0:00:09	109 kph	16° true
Trackpoint	N56 01.833 E37 53.239	28/08/2005 14:50:11 	162 m			298 m	0:00:10	107 kph	16° true
Trackpoint	N56 01.950 E37 53.298	28/08/2005 14:50:18 	162 m			224 m	0:00:07	115 kph	16° true
Trackpoint	N56 02.092 E37 53.369	28/08/2005 14:50:26 	161 m			273 m	0:00:08	123 kph	16° true
Trackpoint	N56 02.241 E37 53.445	28/08/2005 14:50:34 	160 m			287 m	0:00:08	129 kph	16° true
Trackpoint	N56 02.307 E37 53.479	28/08/2005 14:50:38 	159 m			129 m	0:00:04	116 kph	16° true
Trackpoint	N56 02.501 E37 53.578	28/08/2005 14:50:50 	154 m			374 m	0:00:12	112 kph	16° true
Trackpoint	N56 02.609 E37 53.626	28/08/2005 14:50:57 	153 m			206 m	0:00:07	106 kph	14° true
Trackpoint	N56 02.725 E37 53.673	28/08/2005 14:51:05 	153 m			221 m	0:00:08	99 kph	13° true
Trackpoint	N56 02.847 E37 53.721	28/08/2005 14:51:13 	152 m			232 m	0:00:08	104 kph	13° true
Trackpoint	N56 02.965 E37 53.768	28/08/2005 14:51:20 	152 m			224 m	0:00:07	115 kph	13° true
Trackpoint	N56 03.092 E37 53.819	28/08/2005 14:51:27 	154 m			241 m	0:00:07	124 kph	13° true
Trackpoint	N56 03.274 E37 53.891	28/08/2005 14:51:37 	161 m			347 m	0:00:10	125 kph	13° true
Trackpoint	N56 03.409 E37 53.945	28/08/2005 14:51:45 	167 m			257 m	0:00:08	115 kph	13° true
Trackpoint	N56 03.542 E37 53.998	28/08/2005 14:51:53 	173 m			252 m	0:00:08	114 kph	13° true
Trackpoint	N56 03.596 E37 54.020	28/08/2005 14:51:57 	174 m			102 m	0:00:04	92 kph	13° true
Trackpoint	N56 03.697 E37 54.060	28/08/2005 14:52:04 	175 m			192 m	0:00:07	99 kph	13° true
Trackpoint	N56 03.793 E37 54.099	28/08/2005 14:52:10 	174 m			184 m	0:00:06	110 kph	13° true
Trackpoint	N56 03.899 E37 54.141	28/08/2005 14:52:16 	174 m			201 m	0:00:06	121 kph	12° true
Trackpoint	N56 04.024 E37 54.190	28/08/2005 14:52:23 	172 m			238 m	0:00:07	122 kph	12° true
Trackpoint	N56 04.199 E37 54.261	28/08/2005 14:52:33 	168 m			332 m	0:00:10	120 kph	13° true
Trackpoint	N56 04.269 E37 54.304	28/08/2005 14:52:37 	167 m			138 m	0:00:04	124 kph	19° true
Trackpoint	N56 04.336 E37 54.363	28/08/2005 14:52:41 	167 m			139 m	0:00:04	125 kph	26° true
Trackpoint	N56 04.398 E37 54.439	28/08/2005 14:52:45 	167 m			139 m	0:00:04	125 kph	35° true
Trackpoint	N56 04.485 E37 54.558	28/08/2005 14:52:51 	166 m			204 m	0:00:06	122 kph	37° true
Trackpoint	N56 04.556 E37 54.639	28/08/2005 14:52:56 	165 m			156 m	0:00:05	112 kph	32° true
Trackpoint	N56 04.617 E37 54.716	28/08/2005 14:53:01 	165 m			138 m	0:00:05	99 kph	35° true
Trackpoint	N56 04.695 E37 54.828	28/08/2005 14:53:08 	164 m			186 m	0:00:07	96 kph	39° true
Trackpoint	N56 04.799 E37 54.985	28/08/2005 14:53:18 	164 m			252 m	0:00:10	91 kph	40° true
Trackpoint	N56 04.892 E37 55.127	28/08/2005 14:53:27 	163 m			227 m	0:00:09	91 kph	40° true
Trackpoint	N56 04.999 E37 55.289	28/08/2005 14:53:37 	164 m			259 m	0:00:10	93 kph	40° true
Trackpoint	N56 05.077 E37 55.415	28/08/2005 14:53:44 	165 m			195 m	0:00:07	100 kph	42° true
Trackpoint	N56 05.182 E37 55.585	28/08/2005 14:53:53 	166 m			263 m	0:00:09	105 kph	42° true
Trackpoint	N56 05.280 E37 55.735	28/08/2005 14:54:01 	166 m			239 m	0:00:08	108 kph	41° true
Trackpoint	N56 05.356 E37 55.863	28/08/2005 14:54:07 	166 m			193 m	0:00:06	116 kph	43° true
Trackpoint	N56 05.464 E37 56.041	28/08/2005 14:54:15 	165 m			271 m	0:00:08	122 kph	43° true
Trackpoint	N56 05.628 E37 56.314	28/08/2005 14:54:27 	162 m			416 m	0:00:12	125 kph	43° true
Trackpoint	N56 05.775 E37 56.561	28/08/2005 14:54:38 	164 m			374 m	0:00:11	122 kph	43° true
Trackpoint	N56 05.909 E37 56.786	28/08/2005 14:54:48 	167 m			341 m	0:00:10	123 kph	43° true
Trackpoint	N56 06.044 E37 57.013	28/08/2005 14:54:58 	169 m			343 m	0:00:10	123 kph	43° true
Trackpoint	N56 06.105 E37 57.115	28/08/2005 14:55:03 	169 m			155 m	0:00:05	112 kph	43° true
Trackpoint	N56 06.154 E37 57.198	28/08/2005 14:55:08 	169 m			125 m	0:00:05	90 kph	43° true
Trackpoint	N56 06.264 E37 57.383	28/08/2005 14:55:19 	170 m			280 m	0:00:11	92 kph	43° true
Trackpoint	N56 06.349 E37 57.524	28/08/2005 14:55:27 	170 m			215 m	0:00:08	97 kph	43° true
Trackpoint	N56 06.441 E37 57.679	28/08/2005 14:55:35 	172 m			234 m	0:00:08	105 kph	43° true
Trackpoint	N56 06.554 E37 57.865	28/08/2005 14:55:44 	176 m			284 m	0:00:09	114 kph	43° true
Trackpoint	N56 06.650 E37 58.006	28/08/2005 14:55:51 	180 m			231 m	0:00:07	119 kph	39° true
Trackpoint	N56 06.754 E37 58.148	28/08/2005 14:55:58 	181 m			242 m	0:00:07	124 kph	37° true
Trackpoint	N56 06.880 E37 58.317	28/08/2005 14:56:06 	182 m			292 m	0:00:08	132 kph	37° true
Trackpoint	N56 07.014 E37 58.495	28/08/2005 14:56:14 	180 m			309 m	0:00:08	139 kph	37° true
Trackpoint	N56 07.187 E37 58.728	28/08/2005 14:56:24 	173 m			401 m	0:00:10	144 kph	37° true
Trackpoint	N56 07.323 E37 58.909	28/08/2005 14:56:32 	163 m			314 m	0:00:08	141 kph	37° true
Trackpoint	N56 07.399 E37 59.010	28/08/2005 14:56:37 	159 m			177 m	0:00:05	127 kph	36° true
Trackpoint	N56 07.533 E37 59.189	28/08/2005 14:56:46 	159 m			308 m	0:00:09	123 kph	37° true
Trackpoint	N56 07.695 E37 59.406	28/08/2005 14:56:57 	160 m			376 m	0:00:11	123 kph	37° true
Trackpoint	N56 07.858 E37 59.631	28/08/2005 14:57:09 	160 m			382 m	0:00:12	115 kph	38° true
Trackpoint	N56 07.929 E37 59.730	28/08/2005 14:57:15 	161 m			167 m	0:00:06	100 kph	38° true
Trackpoint	N56 08.044 E37 59.889	28/08/2005 14:57:25 	162 m			270 m	0:00:10	97 kph	38° true
Trackpoint	N56 08.142 E38 00.025	28/08/2005 14:57:33 	161 m			230 m	0:00:08	104 kph	38° true
Trackpoint	N56 08.248 E38 00.171	28/08/2005 14:57:41 	164 m			248 m	0:00:08	111 kph	37° true
Trackpoint	N56 08.387 E38 00.357	28/08/2005 14:57:51 	172 m			321 m	0:00:10	116 kph	37° true
Trackpoint	N56 08.476 E38 00.456	28/08/2005 14:57:57 	178 m			194 m	0:00:06	117 kph	31° true
Trackpoint	N56 08.556 E38 00.521	28/08/2005 14:58:02 	180 m			162 m	0:00:05	117 kph	24° true
Trackpoint	N56 08.623 E38 00.555	28/08/2005 14:58:06 	182 m			130 m	0:00:04	117 kph	16° true
