Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Пушкино - Кимры	09/10/2005 11:17:01 	4:59:15	306 km	61 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N56 11.565 E37 37.999	09/10/2005 11:46:32 	200 m			488 m	0:00:20	88 kph	49° true
Trackpoint	N56 11.605 E37 38.040	09/10/2005 11:46:36 	200 m			85 m	0:00:04	76 kph	29° true
Trackpoint	N56 11.812 E37 38.160	09/10/2005 11:46:53 	192 m			403 m	0:00:17	85 kph	18° true
Trackpoint	N56 11.934 E37 38.291	09/10/2005 11:47:03 	183 m			265 m	0:00:10	96 kph	31° true
Trackpoint	N56 12.200 E37 38.612	09/10/2005 11:47:25 	178 m			594 m	0:00:22	97 kph	34° true
Trackpoint	N56 12.315 E37 38.829	09/10/2005 11:47:37 	176 m			309 m	0:00:12	93 kph	46° true
Trackpoint	N56 12.515 E37 39.126	09/10/2005 11:47:56 	170 m			482 m	0:00:19	91 kph	40° true
Trackpoint	N56 12.782 E37 39.523	09/10/2005 11:48:20 	171 m			643 m	0:00:24	96 kph	40° true
Trackpoint	N56 12.839 E37 39.608	09/10/2005 11:48:27 	173 m			136 m	0:00:07	70 kph	40° true
Trackpoint	N56 12.938 E37 39.765	09/10/2005 11:48:45 	181 m			246 m	0:00:18	49 kph	41° true
Trackpoint	N56 12.986 E37 39.954	09/10/2005 11:48:58 	177 m			214 m	0:00:13	59 kph	65° true
Trackpoint	N56 13.063 E37 40.225	09/10/2005 11:49:12 	169 m			314 m	0:00:14	81 kph	63° true
Trackpoint	N56 13.177 E37 40.396	09/10/2005 11:49:23 	184 m			275 m	0:00:11	90 kph	40° true
Trackpoint	N56 13.356 E37 40.690	09/10/2005 11:49:41 	199 m			449 m	0:00:18	90 kph	42° true
Trackpoint	N56 13.443 E37 40.854	09/10/2005 11:49:50 	202 m			235 m	0:00:09	94 kph	46° true
Trackpoint	N56 13.500 E37 41.089	09/10/2005 11:50:00 	199 m			264 m	0:00:10	95 kph	67° true
Trackpoint	N56 13.554 E37 41.341	09/10/2005 11:50:13 	200 m			278 m	0:00:13	77 kph	69° true
Trackpoint	N56 13.599 E37 41.544	09/10/2005 11:50:23 	201 m			225 m	0:00:10	81 kph	68° true
Trackpoint	N56 13.683 E37 41.700	09/10/2005 11:50:32 	204 m			225 m	0:00:09	90 kph	46° true
Trackpoint	N56 13.898 E37 42.045	09/10/2005 11:50:51 	209 m			534 m	0:00:19	101 kph	42° true
Trackpoint	N56 14.035 E37 42.198	09/10/2005 11:51:02 	203 m			299 m	0:00:11	98 kph	32° true
Trackpoint	N56 14.154 E37 42.213	09/10/2005 11:51:10 	197 m			221 m	0:00:08	100 kph	4° true
Trackpoint	N56 14.573 E37 42.155	09/10/2005 11:51:36 	191 m			780 m	0:00:26	108 kph	356° true
Trackpoint	N56 14.901 E37 42.073	09/10/2005 11:51:56 	201 m			615 m	0:00:20	111 kph	352° true
Trackpoint	N56 15.214 E37 41.997	09/10/2005 11:52:14 	198 m			586 m	0:00:18	117 kph	352° true
Trackpoint	N56 15.373 E37 42.018	09/10/2005 11:52:24 	196 m			297 m	0:00:10	107 kph	4° true
Trackpoint	N56 15.767 E37 42.105	09/10/2005 11:52:50 	164 m			737 m	0:00:26	102 kph	7° true
Trackpoint	N56 15.962 E37 42.190	09/10/2005 11:53:04 	182 m			372 m	0:00:14	96 kph	14° true
Trackpoint	N56 16.182 E37 42.390	09/10/2005 11:53:22 	192 m			457 m	0:00:18	91 kph	27° true
Trackpoint	N56 16.318 E37 42.663	09/10/2005 11:53:35 	169 m			379 m	0:00:13	105 kph	48° true
Trackpoint	N56 16.476 E37 42.901	09/10/2005 11:53:48 	166 m			381 m	0:00:13	106 kph	40° true
