Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	МКАД - M9 - Новый Иерусалим	04/03/2006 12:56:46 	0:55:06	63.0 km	69 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N55 47.498 E37 15.649	04/03/2006 13:12:38 	143 m			234 m	0:00:08	105 kph	220° true
Trackpoint	N55 47.386 E37 15.481	04/03/2006 13:12:47 	144 m			272 m	0:00:09	109 kph	220° true
Trackpoint	N55 47.319 E37 15.354	04/03/2006 13:12:53 	146 m			183 m	0:00:06	110 kph	226° true
Trackpoint	N55 47.271 E37 15.236	04/03/2006 13:12:58 	148 m			151 m	0:00:05	109 kph	234° true
Trackpoint	N55 47.199 E37 15.034	04/03/2006 13:13:06 	153 m			250 m	0:00:08	112 kph	238° true
Trackpoint	N55 47.109 E37 14.771	04/03/2006 13:13:16 	160 m			321 m	0:00:10	115 kph	239° true
Trackpoint	N55 47.068 E37 14.674	04/03/2006 13:13:20 	164 m			126 m	0:00:04	114 kph	233° true
Trackpoint	N55 47.012 E37 14.567	04/03/2006 13:13:25 	167 m			153 m	0:00:05	110 kph	227° true
Trackpoint	N55 46.924 E37 14.407	04/03/2006 13:13:33 	169 m			234 m	0:00:08	105 kph	226° true
Trackpoint	N55 46.832 E37 14.245	04/03/2006 13:13:41 	170 m			241 m	0:00:08	108 kph	225° true
Trackpoint	N55 46.740 E37 14.072	04/03/2006 13:13:49 	171 m			248 m	0:00:08	111 kph	227° true
Trackpoint	N55 46.677 E37 13.931	04/03/2006 13:13:55 	172 m			187 m	0:00:06	112 kph	232° true
Trackpoint	N55 46.634 E37 13.806	04/03/2006 13:14:00 	172 m			154 m	0:00:05	111 kph	238° true
Trackpoint	N55 46.599 E37 13.680	04/03/2006 13:14:05 	172 m			147 m	0:00:05	106 kph	244° true
Trackpoint	N55 46.571 E37 13.548	04/03/2006 13:14:10 	171 m			147 m	0:00:05	106 kph	250° true
Trackpoint	N55 46.547 E37 13.377	04/03/2006 13:14:16 	169 m			184 m	0:00:06	110 kph	256° true
Trackpoint	N55 46.528 E37 13.172	04/03/2006 13:14:23 	168 m			217 m	0:00:07	112 kph	261° true
Trackpoint	N55 46.516 E37 12.973	04/03/2006 13:14:30 	167 m			209 m	0:00:07	107 kph	264° true
Trackpoint	N55 46.508 E37 12.840	04/03/2006 13:14:35 	167 m			140 m	0:00:05	100 kph	264° true
Trackpoint	N55 46.498 E37 12.662	04/03/2006 13:14:42 	165 m			187 m	0:00:07	96 kph	264° true
Trackpoint	N55 46.486 E37 12.468	04/03/2006 13:14:49 	163 m			204 m	0:00:07	105 kph	264° true
Trackpoint	N55 46.478 E37 12.232	04/03/2006 13:14:57 	158 m			246 m	0:00:08	111 kph	267° true
Trackpoint	N55 46.481 E37 12.085	04/03/2006 13:15:02 	154 m			154 m	0:00:05	111 kph	272° true
Trackpoint	N55 46.494 E37 11.931	04/03/2006 13:15:07 	152 m			162 m	0:00:05	116 kph	279° true
Trackpoint	N55 46.519 E37 11.779	04/03/2006 13:15:12 	153 m			166 m	0:00:05	119 kph	286° true
Trackpoint	N55 46.561 E37 11.572	04/03/2006 13:15:19 	159 m			230 m	0:00:07	118 kph	290° true
Trackpoint	N55 46.625 E37 11.315	04/03/2006 13:15:28 	167 m			293 m	0:00:09	117 kph	294° true
Trackpoint	N55 46.678 E37 11.096	04/03/2006 13:15:36 	171 m			249 m	0:00:08	112 kph	293° true
Trackpoint	N55 46.718 E37 10.911	04/03/2006 13:15:43 	173 m			207 m	0:00:07	106 kph	291° true
Trackpoint	N55 46.744 E37 10.746	04/03/2006 13:15:49 	173 m			179 m	0:00:06	107 kph	285° true
Trackpoint	N55 46.767 E37 10.554	04/03/2006 13:15:56 	173 m			205 m	0:00:07	105 kph	282° true
Trackpoint	N55 46.787 E37 10.362	04/03/2006 13:16:03 	175 m			203 m	0:00:07	105 kph	281° true
Trackpoint	N55 46.811 E37 10.135	04/03/2006 13:16:11 	179 m			241 m	0:00:08	109 kph	281° true
