Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	Александрийский столб		User Waypoint	N59 56.336 E30 18.937	15 m				Symbol & Name	Unknown	Waypoint
Waypoint	Гостиница в Репино		User Waypoint	N60 09.782 E29 51.325	-11 m				Symbol & Name	Unknown	Waypoint

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course	Satellites

Trackpoint	N55 44.309 E37 35.952	18/04/2012 09:16:12 	0 m			0 m	0:00:10	2 kph	235° true	10	0.0
Trackpoint	N55 44.309 E37 35.952	18/04/2012 09:16:41 	0 m			0 m	0:00:10	2 kph	235° true	10	0.0
Trackpoint	N55 44.393 E37 35.801	18/04/2012 09:17:12 	217 m			0 m	0:00:10	2 kph	235° true	11	0.7
Trackpoint	N55 44.386 E37 35.743	18/04/2012 09:17:42 	204 m			0 m	0:00:10	2 kph	235° true	8	1.0
Trackpoint	N55 44.356 E37 35.754	18/04/2012 09:18:11 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.356 E37 35.754	18/04/2012 09:18:42 	0 m			0 m	0:00:10	2 kph	235° true	3	0.0
Trackpoint	N55 44.355 E37 35.751	18/04/2012 09:28:46 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.355 E37 35.751	18/04/2012 09:32:13 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.355 E37 35.751	18/04/2012 09:32:41 	0 m			0 m	0:00:10	2 kph	235° true	4	0.0
Trackpoint	N55 44.238 E37 36.321	18/04/2012 10:11:42 	137 m			0 m	0:00:10	2 kph	235° true	5	1.2
Trackpoint	N55 44.243 E37 36.220	18/04/2012 10:11:49 	158 m			0 m	0:00:10	2 kph	235° true	5	1.2
Trackpoint	N55 44.374 E37 35.698	18/04/2012 10:11:54 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.374 E37 35.698	18/04/2012 10:11:58 	0 m			0 m	0:00:10	2 kph	235° true	2	0.0
Trackpoint	N55 44.351 E37 35.820	18/04/2012 10:12:03 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.351 E37 35.820	18/04/2012 10:12:07 	0 m			0 m	0:00:10	2 kph	235° true	2	0.0
Trackpoint	N55 44.351 E37 35.820	18/04/2012 10:12:11 	0 m			0 m	0:00:10	2 kph	235° true	2	0.0
Trackpoint	N55 44.367 E37 35.767	18/04/2012 10:12:15 	152 m			0 m	0:00:10	2 kph	235° true	11	0.7
Trackpoint	N55 44.370 E37 35.781	18/04/2012 10:12:19 	150 m			0 m	0:00:10	2 kph	235° true	11	0.7
Trackpoint	N55 44.279 E37 36.133	18/04/2012 10:12:24 	0 m			0 m	0:00:10	2 kph	235° true	5	2.7
Trackpoint	N55 44.361 E37 35.815	18/04/2012 10:12:29 	147 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.354 E37 35.836	18/04/2012 10:12:33 	146 m			0 m	0:00:10	2 kph	235° true	11	0.7
Trackpoint	N55 44.355 E37 35.861	18/04/2012 10:12:37 	143 m			0 m	0:00:10	2 kph	235° true	11	0.7
Trackpoint	N55 44.333 E37 35.920	18/04/2012 10:12:41 	142 m			0 m	0:00:10	2 kph	235° true	11	0.7
Trackpoint	N55 44.279 E37 36.133	18/04/2012 10:51:38 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.320 E37 35.961	18/04/2012 10:51:43 	133 m			0 m	0:00:10	2 kph	235° true	12	0.7
Trackpoint	N55 44.306 E37 35.976	18/04/2012 10:51:47 	131 m			0 m	0:00:10	2 kph	235° true	12	0.7
Trackpoint	N55 44.299 E37 36.000	18/04/2012 10:51:51 	129 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.304 E37 36.050	18/04/2012 10:51:55 	131 m			0 m	0:00:10	2 kph	235° true	12	0.7
Trackpoint	N55 44.303 E37 36.061	18/04/2012 10:51:59 	133 m			0 m	0:00:10	2 kph	235° true	11	0.8
Trackpoint	N55 44.301 E37 36.082	18/04/2012 10:52:03 	133 m			0 m	0:00:10	2 kph	235° true	12	0.7
Trackpoint	N55 44.299 E37 36.082	18/04/2012 10:52:09 	133 m			0 m	0:00:10	2 kph	235° true	8	1.0
